time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
18899.632665999234	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1191.1524253710104	463.80356188051866	1	1	0	1	0	1	0	1	0	0
18932.706629000604	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1172.6131958413623	454.03766082556206	1	1	0	1	0	1	0	1	0	0
18965.799019999802	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1152.018204886914	451.03915124288477	1	1	0	1	0	1	0	1	0	0
18998.916255999357	0.5212836861610413	0.5490634441375732	0.32333794236183167	0.874050498008728	0.7923948168754578	0.8594634532928467	1138.9484985065328	451.7843354706133	1	1	0	1	0	1	0	1	0	0
19032.001723002642	0.5212836861610413	0.5490634441375732	0.32333794236183167	0.874050498008728	0.7923948168754578	0.8594634532928467	1106.5425644949491	459.4691476734247	1	1	0	1	0	1	0	1	0	0
19065.59287200123	0.5212836861610413	0.5490634441375732	0.32333794236183167	0.874050498008728	0.7923948168754578	0.8594634532928467	1091.2584262293813	463.78521005554813	1	1	0	1	0	1	0	1	0	0
19098.67130099982	0.519997239112854	0.5576469898223877	0.3203604817390442	0.8723976016044617	0.8095711469650269	0.8699042797088623	1040.952349039266	478.80252563899023	1	1	0	1	0	1	0	1	0	0
19131.779626000673	0.519997239112854	0.5576469898223877	0.3203604817390442	0.8723976016044617	0.8095711469650269	0.8699042797088623	1013.7202215563501	489.3498009569465	1	1	0	1	0	1	0	1	0	0
19164.87295700237	0.519997239112854	0.5576469898223877	0.3203604817390442	0.8723976016044617	0.8095711469650269	0.8699042797088623	1024.8887382399048	491.0117353842185	1	1	0	1	0	1	0	1	0	0
19198.031768999994	0.5188095569610596	0.5690137147903442	0.3232491612434387	0.8734284043312073	0.800382137298584	0.8728145956993103	1045.9163924032605	488.29334197221056	1	1	0	1	0	1	0	1	0	0
